pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,2.5,60,25.02
5.33,0.076,7.03,4390.6,400,40.13,1.95,2.07,10.86,9.85,2.8,45,2.35,7.21,0.68,70,3,60,46.57
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,0,24.09638554
4.29,,16.34,54984,300,12.07,,1.79,11.15,9.98,,27.13,25.94,3.28,0,60,5,60,18.09
6.77,,5.42,8565,400,63.72,1.17,3.29,,9.25,,10.29,3.73,6.54,0,70,2,30,18.67146262
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,1,15,29.14979757
7.75,0.04887,,5960,400,60.35,13.18,3.93,0.81,,,20.8,4.64,3.34,0,70,1,15,52.68560799
8.03,0.083,10.36,20600,600,,,,,8.98,"	1.95",17.22,12.22,1.97,0,70,0.6,14,27.57966568
4.29,,16.34,54984,300,12.07,,1.79,11.15,9.98,,27.13,25.94,3.28,0,60,2.5,42,10.26
7.75,0.04887,,5960,400,63.28,15.76,3.87,0.83,,,16.12,2.94,3.34,0,70,5,15,29.67251913
4.43,,11.3,29800,300,73.3,0.3,2.6,22.9,9.1,,1.1,5.6,2.2,0,70,5,730,27.43995397
5.93,0.698,21.36,19520,600,,,,,,,,46.2,3,0,60,4,1,11.68691748
5.93,0.698,21.36,19520,600,,,,,,,,46.2,3,0,60,4,28,37.56830185
5.1,,22,,600,39.5,1.9,0.3,3.7,10.2,1,54.9,,3.3,0,70,3,28,1.310209036
8.09,0.35,12.2,9200,450,32.71,2.19,2.7,0.91,10.07,0.47,61.02,4.28,20.1,0.24,,10,180,99.64788732
7.3,0.25,11.3,18300,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,1.81,0.33,,10,180,60.60606061
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,365,41.76829268
5.93,0.698,21.36,19520,600,,,,,,,,41.1,3,0,60,4,56,47.81454098
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,0.5,28,19.76
7.67,,35.78,46100,400,79,0.98,1.51,10.2,8.41,,,121.6,14.59,0.025,75,2,35,7.25
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,485,-3.470031546
5.7,0.02,5.3,5046,750,50.8,1.66,1.72,45.82,10,0.18,42.7,907.4,1.4,0,70,5,365,25.82
8.03,,,,500,30.09,0.27,1.54,11.94,11.55,,56.16,12.83,57.1,0,70,5,0,0.194456431
5.93,0.698,21.36,19520,600,,,,,,,,48.8,3,0,60,4,28,-59.67127135
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,30,27.09677419
7.43,0.417,,5550.6,550,85.2,1.021,1.52,12.259,10.82,0.12,,,33.45,0,70,1,30,26.28
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,5,56,84.83
